,ID,Bin,TaxonRelativeAbundance,Domain,Phylum,Class,Order,Family,Genus,Species
1,Sg_CRR933318_bin.29,Bin124,5.76E-05,Archaea,Thermoplasmatota,B47-G6,B47-G6B,47-G6,B47-G6,Unassigned
2,Sg_CRR933321_bin.42,Bin126,7.83E-06,Archaea,Iainarchaeota,Iainarchaeia,Iainarchaeales,SKW153,SKW153,Unassigned
3,Sg_CRR933322_bin.36,Bin121,0.000262534,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanoculleaceae,Methanoculleus,Methanoculleus sp030019085
4,Sg_CRR933400_bin.1,Bin119,0.000501695,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Unassigned
5,Sg_CRR933403_bin.10,Bin125,1.72E-05,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Unassigned
6,Sg_CRR933403_bin.11,Bin124,2.84E-05,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,UBA472,UBA472,UBA472 sp8940u
7,Sg_CRR933403_bin.20,Bin121,3.80E-05,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanofollaceae,Methanofollis,Methanofollis liminatans
8,Sg_CRR933403_bin.7,Bin123,2.40E-05,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp8098u
9,Sg_CRR933403_bin.9,Bin121,0.000696329,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocalculus,Unassigned
10,Sg_CRR933410_bin.18,Bin125,0.002780594,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,DSM-23052,Methanothermobacter_A,Methanothermobacter_A sp001507955
11,Sg_CRR933411_bin.5,Bin124,1.43E-05,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,JAQUUA01,Unassigned
12,Sg_CRR933412_bin.30,Bin123,1.22E-05,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Unassigned
13,Sg_CRR933418_bin.11,Bin125,0.000583354,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,DSM-23052,Methanothermobacter_A,Methanothermobacter_A sp001507955
14,Sg_CRR933422_bin.2,Bin122,8.12E-06,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,WYZ-LMO2,Unassigned
15,Sg_CRR933422_bin.28,Bin126,1.26E-05,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,Thermosphaera,Thermosphaera aggregans_B
16,Sg_CRR933422_bin.30,Bin126,1.53E-05,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,NBVN01,Zestosphaera,Unassigned
17,Sg_CRR933422_bin.46,Bin128,1.57E-06,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,SpSt-28,Unassigned
18,Sg_CRR933423_bin.70,Bin126,4.47E-06,Archaea,Thermoproteota,Thermoprotei,Thermofilales,Thermofilaceae,Thermofilum,Thermofilum adornatum
19,Sg_CRR933432_bin.100,Bin122,9.89E-05,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanocrinis,Unassigned
20,Sg_CRR933432_bin.230,Bin126,3.96E-06,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,JAHKLY01,JAHKLY01,JAHKLY01 sp020854825
21,Sg_CRR933432_bin.293,Bin125,0.000514461,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanothermobacteraceae,Methanothermobacter,Methanothermobacter marburgensis
22,Sg_CRR933432_bin.318,Bin123,2.28E-06,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Unassigned
23,Sg_CRR933432_bin.40,Bin125,1.73E-05,Archaea,Methanobacteriota,Thermococci,Methanofastidiosales,NM3,JAHKLV01,JAHKLV01 sp020854925
24,Sg_CRR933432_bin.67,Bin127,3.89E-06,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA119,Unassigned,Unassigned
25,Sg_CRR933433_bin.19,Bin125,2.55E-05,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,DSM-23052,Methanothermobacter_A,Methanothermobacter_A sp030055615
26,Sg_CRR933433_bin.2,Bin126,8.27E-06,Archaea,Thermoproteota,Methanomethylicia,Methanomethylicales,Methanomethylicaceae,Methanosuratincola,Methanosuratincola petrocarbonis
27,Sg_CRR933433_bin.5,Bin125,1.38E-05,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanothermobacteraceae,Methanothermobacter,Methanothermobacter wolfei
28,Sg_CRR933433_bin.57,Bin123,5.63E-05,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Methanomethylovorans sp014361205
29,Sg_CRR933434_bin.51,Bin125,8.47E-06,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,DSM-23052,Methanothermobacter_A,Methanothermobacter_A sp003584625
30,Sg_CRR933438_bin.5,Bin121,0.000181099,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanolinea_A,Methanolinea_A sp030019395
31,Sg_CRR933440_bin.103,Bin121,1.68E-06,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanolinea_A,Methanolinea_A sp029547605
32,Sg_CRR933440_bin.111,Bin126,9.76E-07,Archaea,Thermoproteota,Bathyarchaeia,TCS64,TCS64,UBA8941,Unassigned
33,Sg_CRR933440_bin.165,Bin127,5.67E-05,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,RBG-13-33-26,Unassigned
34,Sg_CRR933440_bin.201,Bin122,1.87E-06,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,JAAEEW01,Unassigned
35,Sg_CRR933440_bin.218,Bin122,2.29E-06,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix,Unassigned
36,Sg_CRR933440_bin.235,Bin124,3.02E-06,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,UBA472,UBA472,Unassigned
37,Sg_CRR933440_bin.58,Bin125,5.86E-05,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,UBA117,Unassigned
38,Sg_CRR933440_bin.79,Bin125,1.43E-06,Archaea,Methanobacteriota,Thermococci,Methanofastidiosales,Methanofastidiosaceae,Methanofastidiosum,Unassigned
39,Sg_CRR933440_bin.81,Bin122,3.42E-06,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix_B,Unassigned
40,Sg_CRR933440_bin.93,Bin122,1.47E-05,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix sp002067755
41,Sg_CRR933441_bin.119,Bin126,0.00027545,Archaea,Iainarchaeota,Iainarchaeia,CSSED10-239,CSSED10-239,Forterrea,Unassigned
42,Sg_CRR933441_bin.131,Bin122,5.10E-05,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanocrinis,Unassigned
43,Sg_CRR933441_bin.135,Bin125,1.41E-06,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Unassigned,Unassigned
44,Sg_CRR933441_bin.138,Bin121,9.02E-06,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanolinea_A,Methanolinea_A sp002067155
45,Sg_CRR933441_bin.139,Bin125,3.21E-06,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_D,Methanobacterium_D sp030017655
46,Sg_CRR933441_bin.168,Bin125,0.001014061,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_F,Methanobacterium_F alkalithermotolerans
47,Sg_CRR933441_bin.188,Bin125,5.63E-06,Archaea,Methanobacteriota,Thermococci,Methanofastidiosales,Methanofastidiosaceae,Methanofastidiosum,Methanofastidiosum sp001587575
48,Sg_CRR933441_bin.202,Bin124,5.93E-06,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,UBA472,UBA472,Unassigned
49,Sg_CRR933441_bin.52,Bin125,9.94E-05,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Unassigned
50,Sg_CRR933441_bin.53,Bin121,1.27E-05,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanofollaceae,Methanofollis,Unassigned
51,Sg_CRR933441_bin.55,Bin124,2.33E-06,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,JAQUUA01,Unassigned
52,Sg_CRR933441_bin.98,Bin125,1.18E-06,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_F,Unassigned
53,Sg_SRR10302631_bin.4,Bin123,0.000243166,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus zinderi
54,Sg_SRR10598174_bin.1,Bin127,0.000273676,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,PNOQ01,JAHJUI01,JAHJUI01 sp018829185
55,Sg_SRR10598174_bin.5,Bin127,0.000156269,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,SM23-78,SM23-78,SM23-78 sp018819305
56,Sg_SRR10598174_bin.9,Bin127,0.000125083,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GCA-2686295,GCA-2686295,GCA-2686295 sp018819065
57,Sg_SRR1290764_bin.33,Bin122,0.001064765,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanocrinis,Methanocrinis sp001602645
58,Sg_SRR1290767_bin.14,Bin121,0.000109621,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanoregula,Methanoregula sp11803u
59,Sg_SRR1290772_bin.17,Bin122,0.000217008,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix sp002498745
60,Sg_SRR1290774_bin.8,Bin125,0.000209692,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium subterraneum
61,Sg_SRR13192684_bin.26,Bin121,8.66E-05,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Unassigned
62,Sg_SRR13427962_bin.15,Bin126,1.34E-05,Archaea,Micrarchaeota,Micrarchaeia,CAILAH01,CAILAH01,Unassigned,Unassigned
63,Sg_SRR13427962_bin.23,Bin127,8.11E-05,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA119,Unassigned,Unassigned
64,Sg_SRR13427962_bin.28,Bin126,2.69E-05,Archaea,Iainarchaeota,Iainarchaeia,Iainarchaeales,JAAZKV01,JABIDZ01,Unassigned
65,Sg_SRR13427962_bin.29,Bin126,5.12E-05,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,JAHKLY01,JAHKLY01,Unassigned
66,Sg_SRR13427962_bin.4,Bin127,8.90E-05,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,Unassigned,Unassigned
67,Sg_SRR13427963_bin.4,Bin121,0.000121882,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Unassigned,Unassigned
68,Sg_SRR13427965_bin.27,Bin121,0.000425428,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanoculleaceae,Methanoculleus,Methanoculleus marisnigri_B
69,Sg_SRR13427967_bin.26,Bin123,7.69E-05,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Unassigned
70,Sg_SRR13427967_bin.29,Bin123,4.02E-05,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus psychrotolerans
71,Sg_SRR1976948_bin.3,Bin125,6.12E-05,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium formicicum
72,Sg_SRR1977249_bin.18,Bin121,0.001001926,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocalculus,Methanocalculus sp9912u
73,Sg_SRR1977249_bin.7,Bin122,0.001308064,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanocrinis,Methanocrinis harundinacea_D
74,Sg_SRR1977357_bin.1,Bin122,0.001266562,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus
75,Sg_SRR1977365_bin.2,Bin125,0.000185704,Archaea,Methanobacteriota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus_A,Thermococcus_A sibiricus
76,Sg_SRR21291827_bin.3,Bin121,0.001261144,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocalculus,Unassigned
77,Sg_SRR21291828_bin.2,Bin121,0.000450016,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanoregula,Unassigned
78,Sg_SRR21291829_bin.2,Bin121,0.00128929,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocalculus,Unassigned
79,Sg_SRR21291829_bin.4,Bin123,9.87E-05,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,MTP4,MTP4 sp9310u
80,Sg_SRR21291831_bin.2,Bin122,0.00040942,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanocrinis,Unassigned
81,Sg_SRR21291831_bin.3,Bin121,0.008418321,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocalculus,Unassigned
82,Sg_SRR21291832_bin.3,Bin125,0.000471384,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Unassigned
83,Sg_SRR21291832_bin.4,Bin121,0.000142024,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Unassigned
84,Sg_SRR21291833_bin.1,Bin121,0.00293062,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocalculus,Unassigned
85,Sg_SRR21291833_bin.2,Bin122,0.000101992,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanocrinis,Unassigned
86,Sg_SRR21291833_bin.4,Bin121,0.001204843,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanoregula,Unassigned
87,Sg_SRR23823797_bin.2,Bin123,0.000149281,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus sp030154025
88,Sg_SRR23823835_bin.4,Bin121,0.000266518,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanoculleaceae,Methanoculleus,Methanoculleus sp030446015
89,Sg_SRR23823838_bin.5,Bin127,0.000192166,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA119,UBA119,UBA119 sp030156615
90,Sg_SRR23823851_bin.13,Bin122,0.000130297,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,WYZ-LMO2,WYZ-LMO2 sp030153385
91,Sg_SRR23823851_bin.18,Bin122,0.000226008,Archaea,Halobacteriota,Archaeoglobi,Mnemosynellales,Mnemosynellaceae,Mnemosynella,Mnemosynella bozhongmuii
92,Sg_SRR23823852_bin.7,Bin121,0.000393008,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanoculleaceae,Methanoculleus,Methanoculleus sp030446015
93,Sg_SRR23823855_bin.4,Bin122,0.007382549,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales_A,Methermicoccaceae,Methermicoccus,Methermicoccus shengliensis
94,Sg_SRR23823868_bin.15,Bin125,0.000591185,Archaea,Methanobacteriota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp030156945
95,Sg_SRR23823868_bin.23,Bin125,0.000110956,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp000499765
96,Sg_SRR23823869_bin.4,Bin124,5.79E-05,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA9915,UBA9915 sp9915u
97,Sg_SRR23823870_bin.25,Bin123,3.97E-05,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,Methanohalophilus sp030156785
98,Sg_SRR23823871_bin.10,Bin127,0.000229905,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,JASKKU01,JASKKU01,JASKKU01 sp030154045
99,Sg_SRR23823872_bin.1,Bin125,0.003494494,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanothermobacteraceae,Methanothermobacter,Methanothermobacter thermautotrophicus
100,Sg_SRR23823873_bin.6,Bin126,0.000100431,Archaea,Iainarchaeota,Iainarchaeia,JAADDC01,JAADDC01,SZUA-1452,SZUA-1452 sp030445695
101,Sg_SRR24974066_bin.11,Bin123,6.32E-05,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Methanomethylovorans hollandica
102,Sg_SRR24974066_bin.12,Bin123,0.003523877,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus sp016278385
103,Sg_SRR24974067_bin.5,Bin123,0.000440522,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus sp016278365
104,Sg_SRR29635773_bin.20,Bin125,8.18E-06,Archaea,Hadarchaeota,Hadarchaeia,Hadarchaeales,Unassigned,Unassigned,Unassigned
105,Sg_SRR29635773_bin.7,Bin124,2.77E-05,Archaea,Thermoplasmatota,DTKX01,DTKX01,Unassigned,Unassigned,Unassigned
106,Sg_SRR29635774_bin.23,Bin126,8.12E-06,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unassigned
107,Sg_SRR29635775_bin.1,Bin126,6.66E-06,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unassigned
108,Sg_SRR29635776_bin.1,Bin126,5.65E-06,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,Bilamarchaeaceae,JAHJBR01,Unassigned
109,Sg_SRR29635779_bin.28,Bin126,6.80E-06,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,Bilamarchaeaceae,Bilamarchaeum,Unassigned
110,Sg_SRR29635780_bin.13,Bin124,9.84E-06,Archaea,Thermoplasmatota,JASEFT01,JASEFT01,JASEFT01,JASEFT01,Unassigned
111,Sg_SRR29635780_bin.19,Bin126,0.000260545,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosotenuis,Unassigned
112,Sg_SRR5279630_bin.13,Bin123,0.0024553,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei
113,Sg_SRR5279630_bin.8,Bin123,0.000668494,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus tindarius
114,Sg_SRR5279631_bin.13,Bin123,0.000114941,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus vulcani
115,Sg_SRR5279631_bin.5,Bin123,7.74E-05,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina spelaei
116,Sg_SRR5279631_bin.7,Bin121,0.000386553,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanomicrobium,Methanomicrobium antiquum
117,Sg_SRR5352271_bin.3,Bin122,0.000447696,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,WYZ-LMO2,Unassigned
118,Sg_SRR5352272_bin.3,Bin122,0.000597974,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Unassigned
119,Sg_SRR6186653_bin.21,Bin122,9.11E-06,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix_B,Methanothrix_B sp029907715
120,Sg_SRR6186653_bin.24,Bin125,0.000547611,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanothermobacteraceae,Methanothermobacter,Methanothermobacter marburgensis
121,Sg_SRR6186653_bin.27,Bin125,0.000221268,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,DSM-23052,Methanothermobacter_A,Methanothermobacter_A tenebrarum_A
122,Sg_SRR6186653_bin.33,Bin125,6.90E-06,Archaea,Methanobacteriota,Thermococci,Methanofastidiosales,Methanofastidiosaceae,Methanofastidiosum,Methanofastidiosum sp013178285
123,Sg_SRR6186653_bin.49,Bin126,1.21E-05,Archaea,Thermoproteota,Methanomethylicia,Methanomethylicales,Methanomethylicaceae,Methanosuratincola,Methanosuratincola subterraneus
124,Sg_SRR6186653_bin.50,Bin124,2.54E-05,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,UBA472,MVRC01,MVRC01 sp013415865
125,Sg_SRR6186653_bin.66,Bin125,7.00E-05,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_A,Methanobacterium_A sp002067325
126,Sg_SRR6186653_bin.67,Bin125,1.05E-05,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp013403005
127,Sg_SRR6186653_bin.82,Bin122,0.000409553,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix_B,Methanothrix_B thermoacetophila
128,Sg_SRR6186653_bin.94,Bin122,2.90E-05,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,JABLXE01,JABLXE01 sp013178225
129,Sg_SRR6976411_bin.1,Bin128,7.90E-05,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAHIDZ01,JAHIDZ01 sp018901755
130,Sg_SRR6976411_bin.12,Bin123,7.79E-05,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens sp018900975
131,Sg_SRR6976411_bin.15,Bin127,0.000500095,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,JAHIHG01,JAHIHG01 sp018898425
132,Sg_SRR6976411_bin.22,Bin128,1.78E-05,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAHIEG01,JAHIEG01 sp018901655
133,Sg_SRR6976411_bin.25,Bin123,0.000146715,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens sp018899795
134,Sg_SRR6976411_bin.30,Bin127,2.65E-05,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,JAHIEH01,JAHIEH01 sp018901675
135,Sg_SRR6976411_bin.39,Bin124,6.46E-05,Archaea,Thermoplasmatota,JASEFT01,JASEFT01,JAUWIS01,JASEEW01,Unassigned
136,Sg_SRR6976411_bin.4,Bin127,5.22E-05,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,JAGVXH01,JAGVXH01 sp018901375
137,Sg_SRR6976411_bin.42,Bin128,2.63E-05,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,DAIDAN01,DAIDAN01,Unassigned
138,Sg_SRR6976411_bin.8,Bin127,4.12E-05,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,JAHIEM01,JAHIEM01 sp018901625
139,Sg_SRR7193715_bin.3,Bin125,0.000294945,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_F,Methanobacterium_F sp019084405
140,Sg_SRR942928_bin.31,Bin121,0.000188324,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,UBA9949,Unassigned
141,Sg_SRR942928_bin.56,Bin122,0.000202032,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanocrinis,Methanocrinis harundinaceus
142,Sg_SRR943317_bin.5,Bin121,0.00363475,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanoculleaceae,Methanoculleus,Methanoculleus sp002497965
143,Sg_SRR943318_bin.20,Bin121,0.000214605,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,SD8,SD8 sp002509485
144,Sg_SRR9644739_bin.22,Bin128,2.65E-05,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,DAIDAN01,DAIDAN01,Unassigned
145,Sg_SRR9644742_bin.1,Bin124,0.000118577,Archaea,Thermoplasmatota,Thermoplasmata,SG8-5,SG8-5,UBA147,UBA147 sp013791785
146,Sg_Unknown_BV499-003R0001_good_bin.1,Bin118,0.000105241,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halovenus,Unassigned
147,Sg_Unknown_BV499-003R0001_good_bin.10,Bin118,1.85E-05,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Unassigned,Unassigned
148,Sg_Unknown_BV499-003R0001_good_bin.11,Bin119,9.59E-06,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina,Unassigned
149,Sg_Unknown_BV499-003R0001_good_bin.12,Bin119,0.000125213,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Unassigned
150,Sg_Unknown_BV499-003R0001_good_bin.14,Bin119,8.51E-05,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halopenitus,Halopenitus malekzadehii
151,Sg_Unknown_BV499-003R0001_good_bin.15,Bin119,0.00010413,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Unassigned
152,Sg_Unknown_BV499-003R0001_good_bin.17,Bin119,3.16E-05,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Unassigned
153,Sg_Unknown_BV499-003R0001_good_bin.18,Bin118,1.94E-05,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Unassigned
154,Sg_Unknown_BV499-003R0001_good_bin.2,Bin118,8.10E-05,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,Unassigned
155,Sg_Unknown_BV499-003R0001_good_bin.22,Bin119,0.003596652,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas sp013839515
156,Sg_Unknown_BV499-003R0001_good_bin.23,Bin120,7.31E-05,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halobacteriaceae,Halanaeroarchaeum,Unassigned
