MAG	Domain	Phylum	Class	Order	Family	Genus	Species
Sg_SRR6186653_bin.94	Archaea	Halobacteriota	Methanosarcinia	Methanotrichales	Methanotrichaceae	JABLXE01	JABLXE01 sp013178225
Sg_SRR6976411_bin.1	Archaea	Aenigmatarchaeota	Aenigmatarchaeia	Aenigmatarchaeales	Aenigmatarchaeaceae	JAHIDZ01	JAHIDZ01 sp018901755
Sg_SRR6976411_bin.12	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanoperedenaceae	Methanoperedens	Methanoperedens sp018900975
Sg_SRR6976411_bin.15	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JAHIHG01	JAHIHG01 sp018898425
Sg_SRR6976411_bin.22	Archaea	Aenigmatarchaeota	Aenigmatarchaeia	Aenigmatarchaeales	Aenigmatarchaeaceae	JAHIEG01	JAHIEG01 sp018901655
Sg_SRR6976411_bin.25	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanoperedenaceae	Methanoperedens	Methanoperedens sp018899795
Sg_SRR6976411_bin.30	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JAHIEH01	JAHIEH01 sp018901675
Sg_SRR6976411_bin.39	Archaea	Thermoplasmatota	JASEFT01	JASEFT01	JAUWIS01	JASEEW01	
Sg_SRR6976411_bin.4	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JAGVXH01	JAGVXH01 sp018901375
Sg_SRR6976411_bin.42	Archaea	Aenigmatarchaeota	Aenigmatarchaeia	Aenigmatarchaeales	DAIDAN01	DAIDAN01	
Sg_SRR6976411_bin.8	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JAHIEM01	JAHIEM01 sp018901625
Sg_SRR7193715_bin.3	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium_F	Methanobacterium_F sp019084405
Sg_SRR942928_bin.31	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	UBA9949	
Sg_SRR942928_bin.56	Archaea	Halobacteriota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanocrinis	Methanocrinis harundinaceus
Sg_SRR943317_bin.5	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoculleaceae	Methanoculleus	Methanoculleus sp002497965
Sg_SRR943318_bin.20	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	SD8	SD8 sp002509485
Sg_SRR9644739_bin.22	Archaea	Aenigmatarchaeota	Aenigmatarchaeia	Aenigmatarchaeales	DAIDAN01	DAIDAN01	
Sg_SRR9644742_bin.1	Archaea	Thermoplasmatota	Thermoplasmata	SG8-5	SG8-5	UBA147	UBA147 sp013791785
