MAG,Domain,Phylum,Class,Order,Family,Genus,Species
Sg_CRR933424_bin.10,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylophilus,Methylophilus sp001424665
Sg_CRR933424_bin.11,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unassigned
Sg_CRR933424_bin.12,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,Unassigned
Sg_CRR933424_bin.13,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,Bosea lupini
Sg_CRR933424_bin.14,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Rhodoglobus,Unassigned
Sg_CRR933424_bin.16,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,28-YEA-48,Unassigned
Sg_CRR933424_bin.17,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia_A,Unassigned
Sg_CRR933424_bin.18,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,PBB1,Unassigned
Sg_CRR933424_bin.19,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Unassigned
Sg_CRR933424_bin.2,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Unassigned
Sg_CRR933424_bin.20,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Rhodoglobus,Rhodoglobus sp903920435
Sg_CRR933424_bin.21,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Pseudolysinimonas,Unassigned
Sg_CRR933424_bin.22,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax,Unassigned
Sg_CRR933424_bin.23,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Dyadobacter,Unassigned
Sg_CRR933424_bin.24,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Unassigned
Sg_CRR933424_bin.26,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,Unassigned
Sg_CRR933424_bin.27,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
Sg_CRR933424_bin.28,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unassigned
Sg_CRR933424_bin.3,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unassigned
Sg_CRR933424_bin.31,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unassigned
Sg_CRR933424_bin.34,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas,Unassigned
Sg_CRR933424_bin.36,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter,Unassigned
Sg_CRR933424_bin.37,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unassigned
Sg_CRR933424_bin.39,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Rhodoglobus,Rhodoglobus sp001725325
Sg_CRR933424_bin.4,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Hydrogenophaga,Unassigned
