"genome","Occupancy","Mean_Relative_Abundance"
"Sg_CRR933318_bin.11",9.89010989010989,0.0070839990049565
"Sg_CRR933318_bin.13",7.69230769230769,0.0618900349187837
"Sg_CRR933318_bin.14",41.7582417582418,0.0847186856182452
"Sg_CRR933318_bin.16",10.989010989011,0.0683683334912785
"Sg_CRR933318_bin.17",3.2967032967033,0.000971556842879257
"Sg_CRR933318_bin.18",9.89010989010989,0.0273704226144883
"Sg_CRR933318_bin.2",4.3956043956044,0.00312481817905539
"Sg_CRR933318_bin.21",2.1978021978022,0.0125536972343335
"Sg_CRR933318_bin.22",6.59340659340659,0.00983009135310049
"Sg_CRR933318_bin.23",2.1978021978022,0.0169633649513883
"Sg_CRR933318_bin.27",38.4615384615385,0.0510010854672163
"Sg_CRR933318_bin.28",12.0879120879121,0.348956336620738
"Sg_CRR933318_bin.29",4.3956043956044,0.0160017330342451
"Sg_CRR933318_bin.30",19.7802197802198,0.12727031086543
"Sg_CRR933318_bin.31",13.1868131868132,0.0286945856783934
"Sg_CRR933318_bin.6",23.0769230769231,0.10772417127587
"Sg_CRR933319_bin.11",2.1978021978022,0.000658264568198655
"Sg_CRR933319_bin.14",4.3956043956044,0.0116775455990857
"Sg_CRR933319_bin.16",3.2967032967033,0.0193197201499014
"Sg_CRR933319_bin.17",2.1978021978022,0.0680097595137881
"Sg_CRR933319_bin.18",1.0989010989011,0.000863002114441372
"Sg_CRR933319_bin.2",10.989010989011,0.0132846427786433
"Sg_CRR933319_bin.20",16.4835164835165,0.00748799015411736
"Sg_CRR933319_bin.21",6.59340659340659,0.113827939348431
"Sg_CRR933319_bin.25",7.69230769230769,0.0114118122196706
"Sg_CRR933319_bin.27",4.3956043956044,0.00480066694214688
"Sg_CRR933319_bin.30",4.3956043956044,0.0168038239894822
"Sg_CRR933319_bin.31",3.2967032967033,0.000766652717192619
"Sg_CRR933319_bin.35",5.49450549450549,0.00421007243761771
"Sg_CRR933319_bin.6",2.1978021978022,0.00136962045312913
"Sg_CRR933319_bin.9",1.0989010989011,0.00283531642942215
"Sg_CRR933320_bin.1",2.1978021978022,0.00282033488759605
"Sg_CRR933320_bin.18",4.3956043956044,0.00138667616943972
"Sg_CRR933320_bin.19",2.1978021978022,0.00369140807317039
"Sg_CRR933320_bin.22",15.3846153846154,0.05396020460896
"Sg_CRR933320_bin.26",7.69230769230769,0.00148768488269823
"Sg_CRR933320_bin.3",4.3956043956044,0.0432684780730043
"Sg_CRR933320_bin.30",1.0989010989011,0.00551667866249596
"Sg_CRR933320_bin.33",3.2967032967033,0.00100671957200163
"Sg_CRR933320_bin.34",5.49450549450549,0.00339937099660716
"Sg_CRR933320_bin.35",1.0989010989011,0.0019909897056789
"Sg_CRR933320_bin.39",23.0769230769231,0.0749283197352567
"Sg_CRR933320_bin.41",13.1868131868132,0.0109361862507324
"Sg_CRR933320_bin.5",10.989010989011,0.313583328633361
"Sg_CRR933320_bin.6",4.3956043956044,0.00629645410450633
"Sg_CRR933320_bin.7",5.49450549450549,0.00225152355005341
"Sg_CRR933321_bin.1",10.989010989011,0.381769846407417
"Sg_CRR933321_bin.10",1.0989010989011,0.00228301492509059
"Sg_CRR933321_bin.12",5.49450549450549,0.00161770202931061
"Sg_CRR933321_bin.14",7.69230769230769,0.00246364921823298
"Sg_CRR933321_bin.15",3.2967032967033,0.00869040866441904
"Sg_CRR933321_bin.18",9.89010989010989,0.00787982503620542
"Sg_CRR933321_bin.2",1.0989010989011,0.0011442022426118
"Sg_CRR933321_bin.24",12.0879120879121,0.00390477531874721
"Sg_CRR933321_bin.27",19.7802197802198,0.00627910713151517
"Sg_CRR933321_bin.28",8.79120879120879,0.0343269981201512
"Sg_CRR933321_bin.29",2.1978021978022,0.00937991288443318
"Sg_CRR933321_bin.3",13.1868131868132,0.00187895322854307
"Sg_CRR933321_bin.36",18.6813186813187,0.067058094621312
"Sg_CRR933321_bin.37",13.1868131868132,0.00438625419725007
"Sg_CRR933321_bin.4",15.3846153846154,0.00453685467039227
"Sg_CRR933321_bin.41",1.0989010989011,0.000703601432507678
"Sg_CRR933321_bin.42",3.2967032967033,0.0021757864770155
"Sg_CRR933321_bin.44",6.59340659340659,0.0114408579936167
"Sg_CRR933321_bin.45",9.89010989010989,0.181068711522596
"Sg_CRR933321_bin.5",9.89010989010989,0.00536951808739745
"Sg_CRR933321_bin.50",1.0989010989011,0.0035000403503735
"Sg_CRR933321_bin.51",1.0989010989011,0.0009843755484058
"Sg_CRR933321_bin.52",8.79120879120879,0.00227503814150783
"Sg_CRR933321_bin.53",2.1978021978022,0.0149661630717029
"Sg_CRR933321_bin.55",13.1868131868132,0.00229645483446085
"Sg_CRR933321_bin.7",10.989010989011,0.00868345865303604
"Sg_CRR933321_bin.8",6.59340659340659,0.00103586776967565
"Sg_CRR933322_bin.1",10.989010989011,0.025846368328501
"Sg_CRR933322_bin.14",9.89010989010989,0.0741615487632622
"Sg_CRR933322_bin.18",9.89010989010989,0.0284719750728231
"Sg_CRR933322_bin.19",8.79120879120879,0.00183783297470871
"Sg_CRR933322_bin.20",6.59340659340659,0.00234027276019725
"Sg_CRR933322_bin.25",18.6813186813187,0.0113468261992714
"Sg_CRR933322_bin.26",12.0879120879121,0.247035299758428
"Sg_CRR933322_bin.27",7.69230769230769,0.0336233283162949
"Sg_CRR933322_bin.28",5.49450549450549,0.0379477497217818
"Sg_CRR933322_bin.3",2.1978021978022,0.000855532839011706
"Sg_CRR933322_bin.30",24.1758241758242,1.41242750089478
"Sg_CRR933322_bin.33",2.1978021978022,0.00515313059288513
"Sg_CRR933322_bin.34",5.49450549450549,0.0189139640222311
"Sg_CRR933322_bin.35",8.79120879120879,0.0225469518472888
"Sg_CRR933322_bin.36",21.978021978022,0.0596839899440095
"Sg_CRR933322_bin.37",3.2967032967033,0.00119625159011574
"Sg_CRR933322_bin.38",5.49450549450549,0.0182054446035469
"Sg_CRR933322_bin.39",3.2967032967033,0.0119675562931857
"Sg_CRR933322_bin.40",13.1868131868132,0.0140544390540422
"Sg_CRR933322_bin.42",9.89010989010989,0.0347998862349322
"Sg_CRR933322_bin.45",2.1978021978022,0.0141025119409213
"Sg_CRR933322_bin.46",3.2967032967033,0.0536206808120616
"Sg_CRR933322_bin.8",1.0989010989011,0.00121892110778134
"Sg_CRR933322_bin.9",17.5824175824176,0.271301199974285
"Sg_CRR933323_bin.10",1.0989010989011,0.00131232055466803
"Sg_CRR933323_bin.13",1.0989010989011,0.00828878372313413
"Sg_CRR933323_bin.15",2.1978021978022,0.00376628432676993
"Sg_CRR933323_bin.16",2.1978021978022,0.00473744257460131
"Sg_CRR933323_bin.17",1.0989010989011,0.00647117053731569
"Sg_CRR933323_bin.22",2.1978021978022,0.00843309585417333
"Sg_CRR933323_bin.24",3.2967032967033,0.0258980963351243
"Sg_CRR933323_bin.27",5.49450549450549,0.00514605697151401
"Sg_CRR933323_bin.30",1.0989010989011,0.00370161079529945
"Sg_CRR933323_bin.32",1.0989010989011,0.000632244113379408
"Sg_CRR933323_bin.33",27.4725274725275,0.25180480408383
"Sg_CRR933323_bin.35",4.3956043956044,0.00161568514269325
"Sg_CRR933323_bin.37",7.69230769230769,0.00526482286323332
"Sg_CRR933323_bin.39",6.59340659340659,0.0109685750978368
"Sg_CRR933323_bin.40",12.0879120879121,0.00323220923752584
"Sg_CRR933323_bin.6",8.79120879120879,0.0020161789359625
"Sg_CRR933323_bin.7",8.79120879120879,0.0613931536415701
"Sg_CRR933324_bin.1",1.0989010989011,0.00172852518515219
"Sg_CRR933324_bin.10",1.0989010989011,0.00299900476711488
"Sg_CRR933324_bin.12",2.1978021978022,0.022275448784911
"Sg_CRR933324_bin.13",1.0989010989011,0.000316391219964505
"Sg_CRR933324_bin.14",2.1978021978022,0.000425105261604728
"Sg_CRR933324_bin.15",38.4615384615385,0.223105401808429
"Sg_CRR933324_bin.17",4.3956043956044,0.000988518629182147
"Sg_CRR933324_bin.19",1.0989010989011,0.0126236925425947
"Sg_CRR933324_bin.2",1.0989010989011,0.000324951097009237
"Sg_CRR933324_bin.20",1.0989010989011,0.00272998032687064
"Sg_CRR933324_bin.21",3.2967032967033,0.0460132996366606
"Sg_CRR933324_bin.22",1.0989010989011,0.000594622053580186
"Sg_CRR933324_bin.23",3.2967032967033,0.0345573054165548
"Sg_CRR933324_bin.24",1.0989010989011,0.000994038363297564
"Sg_CRR933324_bin.25",1.0989010989011,0.00089305754163601
"Sg_CRR933324_bin.26",13.1868131868132,0.20906371980343
"Sg_CRR933324_bin.27",23.0769230769231,0.0272225000607744
"Sg_CRR933324_bin.29",3.2967032967033,0.0013372934008899
"Sg_CRR933324_bin.3",19.7802197802198,0.00236112665215856
"Sg_CRR933324_bin.30",14.2857142857143,0.147210931087439
"Sg_CRR933324_bin.31",2.1978021978022,0.000482581877846972
"Sg_CRR933324_bin.32",3.2967032967033,0.0317684419637319
"Sg_CRR933324_bin.33",2.1978021978022,0.0120922308824284
"Sg_CRR933324_bin.34",4.3956043956044,0.00178349747852723
"Sg_CRR933324_bin.36",8.79120879120879,0.0040237643282785
"Sg_CRR933324_bin.37",10.989010989011,0.00214056869249285
"Sg_CRR933324_bin.38",1.0989010989011,0.00105651985363756
"Sg_CRR933324_bin.39",2.1978021978022,0.0317766104032653
"Sg_CRR933324_bin.4",2.1978021978022,0.0352476800591492
"Sg_CRR933324_bin.40",3.2967032967033,0.117930038270283
"Sg_CRR933324_bin.41",1.0989010989011,0.00564822060807996
"Sg_CRR933324_bin.42",2.1978021978022,0.0307871834862881
"Sg_CRR933324_bin.5",3.2967032967033,0.000652638412178678
"Sg_CRR933324_bin.6",4.3956043956044,0.0403669132904021
"Sg_CRR933324_bin.7",1.0989010989011,0.000452481340802816
"Sg_CRR933324_bin.8",1.0989010989011,0.000731099822676125
"Sg_CRR933324_bin.9",14.2857142857143,0.00401853790082818
"Sg_CRR933325_bin.1",5.49450549450549,0.00497432329185929
"Sg_CRR933325_bin.10",8.79120879120879,0.00125542550615411
"Sg_CRR933325_bin.11",3.2967032967033,0.002214946638967
"Sg_CRR933325_bin.13",13.1868131868132,0.0222195863443822
"Sg_CRR933325_bin.14",2.1978021978022,0.00200607010034768
"Sg_CRR933325_bin.15",4.3956043956044,0.812199968539362
"Sg_CRR933325_bin.16",19.7802197802198,0.199069345759825
"Sg_CRR933325_bin.17",5.49450549450549,0.000725960325767613
"Sg_CRR933325_bin.2",7.69230769230769,0.00410795492279303
"Sg_CRR933325_bin.21",1.0989010989011,0.000746555076158497
"Sg_CRR933325_bin.22",48.3516483516484,1.42873129172412
"Sg_CRR933325_bin.23",10.989010989011,0.00696141218296317
"Sg_CRR933325_bin.25",3.2967032967033,0.0167360871873686
"Sg_CRR933325_bin.26",12.0879120879121,0.0529909265435962
"Sg_CRR933325_bin.5",7.69230769230769,0.00110624495589841
"Sg_CRR933325_bin.6",1.0989010989011,0.000439998124728684
"Sg_CRR933325_bin.8",8.79120879120879,0.0023184918242557
"Sg_CRR933325_bin.9",4.3956043956044,0.00784536690701362
"Sg_CRR933393_bin.1",2.1978021978022,0.00192301857996839
"Sg_CRR933393_bin.11",1.0989010989011,0.00327132017684476
"Sg_CRR933393_bin.12",1.0989010989011,0.00824103287572942
"Sg_CRR933393_bin.16",4.3956043956044,0.05529896049782
"Sg_CRR933393_bin.17",2.1978021978022,0.0108377089530913
"Sg_CRR933393_bin.18",6.59340659340659,0.0114532681437484
"Sg_CRR933393_bin.19",1.0989010989011,0.00243666622723429
"Sg_CRR933393_bin.2",3.2967032967033,0.00775750277274258
"Sg_CRR933393_bin.20",2.1978021978022,0.163079998690587
"Sg_CRR933393_bin.21",2.1978021978022,0.00280176902831684
"Sg_CRR933393_bin.23",5.49450549450549,0.0562187413969208
"Sg_CRR933393_bin.26",3.2967032967033,0.00788263307475968
"Sg_CRR933393_bin.27",1.0989010989011,0.00243402446831727
"Sg_CRR933393_bin.28",3.2967032967033,0.0724893265097715
"Sg_CRR933393_bin.29",4.3956043956044,0.0299688820940121
"Sg_CRR933393_bin.30",2.1978021978022,0.00458192550599855
"Sg_CRR933393_bin.40",8.79120879120879,0.00610848689327612
"Sg_CRR933393_bin.41",4.3956043956044,0.0068317776322528
"Sg_CRR933393_bin.43",2.1978021978022,0.035032844751867
"Sg_CRR933393_bin.44",4.3956043956044,0.0154187628003013
"Sg_CRR933393_bin.47",3.2967032967033,0.0290294626909717
"Sg_CRR933393_bin.48",1.0989010989011,0.00661724784528749
"Sg_CRR933393_bin.5",6.59340659340659,0.025611009814611
"Sg_CRR933393_bin.6",1.0989010989011,0.00515347351508672
"Sg_CRR933393_bin.8",1.0989010989011,0.00226405794135548
"Sg_CRR933393_bin.9",5.49450549450549,0.0154012946883053
"Sg_CRR933394_bin.1",10.989010989011,0.0965964226737033
"Sg_CRR933394_bin.10",2.1978021978022,0.0111915923641483
